bestd12;kvotient;halvaar;eksald;kvinde;matB;matM;sproglig;HF;HHX;HTX;udland;GIF
0;8,100000381;1;1;1;0;0;0;0;0;0;0;0
1;10;1;2;0;0;0;0;0;1;0;0;0
1;8;1;2;0;1;0;0;0;0;0;0;0
1;9,699999809;1;0;1;0;0;0;0;0;0;0;0
1;9,100000381;1;3;0;0;0;0;0;0;0;0;0
1;9,399999619;1;1;1;0;0;0;0;0;0;0;0
0;8,899999619;1;0;0;1;0;0;0;0;0;0;0
1;9,199999809;1;0;0;0;1;0;0;0;0;0;0
1;8,800000191;1;1;0;0;0;0;0;0;0;0;0
0;8,100000381;1;1;0;0;0;0;0;0;0;0;0
0;8,199999809;1;0;0;1;0;0;0;0;0;0;0
0;8,5;1;1;0;0;0;0;0;0;0;0;0
1;9,699999809;1;1;0;0;1;0;0;0;0;0;0
0;8,699999809;1;2;0;0;1;0;0;0;0;0;0
1;9;1;2;0;0;0;0;0;0;0;0;0
0;9,5;1;0;0;0;0;0;0;0;0;0;0
0;8,100000381;1;0;0;0;0;0;0;1;0;0;0
0;8,300000191;1;0;0;0;0;0;1;0;0;0;0
1;9,399999619;1;2;1;0;0;0;0;0;0;0;0
1;8;1;3;0;0;0;0;0;0;0;0;0
1;8,899999619;1;0;1;0;0;0;0;0;0;0;0
1;8;1;3;0;0;0;0;0;0;0;0;0
1;9;1;4;0;0;0;0;1;0;0;0;0
1;9,699999809;0;2;0;1;0;0;0;0;0;0;0
0;8,300000191;1;0;0;0;0;0;0;1;0;0;0
0;8,199999809;1;1;0;0;0;0;1;0;0;0;0
0;8,100000381;1;1;0;0;0;0;0;0;0;0;0
0;8,600000381;1;4;1;0;0;1;0;0;0;0;0
1;10;1;0;0;0;0;0;0;0;0;0;0
0;8,100000381;1;3;0;0;0;0;0;0;0;1;0
1;8,100000381;1;3;1;0;0;0;0;0;0;0;0
1;8,899999619;1;3;0;0;1;0;0;0;0;0;0
1;8,800000191;1;1;0;0;0;0;0;1;0;0;0
0;9;1;13;1;0;0;0;0;0;0;0;0
1;8,300000191;1;0;0;0;0;0;0;0;0;0;0
1;8,600000381;1;1;0;0;1;0;0;0;0;0;0
1;8,600000381;1;2;0;0;0;0;0;0;0;0;0
0;8,600000381;1;1;0;0;1;0;0;0;0;0;0
0;9,300000191;1;1;1;0;0;0;0;0;0;1;0
1;8,600000381;0;4;0;0;0;0;1;0;0;0;0
1;8,800000191;1;0;0;0;1;0;0;0;0;0;0
0;8,5;1;2;0;0;0;0;0;0;0;0;0
0;9;1;3;0;0;0;1;0;0;0;0;0
1;9,600000381;1;2;1;1;0;0;0;0;0;0;0
0;8,5;1;1;0;1;0;0;0;0;0;0;0
1;10;0;1;1;0;0;0;0;0;0;0;0
1;9,699999809;1;1;0;0;1;0;0;0;0;0;0
1;8,5;1;1;0;0;0;0;0;0;0;0;0
1;8,699999809;1;2;0;0;0;0;0;0;0;0;0
1;10;1;1;0;0;1;0;0;0;0;0;0
0;8,5;1;2;0;0;0;0;0;0;0;0;0
0;8,300000191;1;0;0;0;0;0;0;1;0;0;0
0;9;0;1;1;0;0;0;0;0;0;0;0
1;9,800000191;0;4;0;0;0;0;0;0;0;0;0
1;8,5;0;5;0;0;0;0;0;0;0;0;0
0;10;1;4;0;0;0;0;0;1;0;0;0
1;10;1;3;0;0;0;0;0;0;0;0;0
0;10;0;1;1;0;0;1;0;0;0;0;0
1;10;1;0;1;0;0;0;0;0;0;0;0
1;8,899999619;1;2;0;0;0;0;0;1;0;0;0
0;9,699999809;1;1;0;0;0;0;0;1;0;0;0
1;9,399999619;1;7;0;0;0;0;0;1;0;0;0
0;8,100000381;1;3;0;0;0;0;0;0;0;0;0
